manufacturer,Model,Condition,Listing ID,Update,Year of construction,Mileage,price,ville,pays
MAN,TGX 18.470 GX,used,A214-68-337,2026-03-10,2022,470262,40500,Heteren,Netherlands
Mercedes,Actros 1836 4X2 NL-Truck StreamSpace,used,A211-87-202,2026-03-10,2017,894306,13900,Veghel,Netherlands
DAF,XF 480 4X2 SSC Retarder PTO,used,A211-87-166,2026-03-10,2018,750855,15900,Veghel,Netherlands
Scania,R560 R 6X2 Manual Retarder Lift+Lenkachse Euro5,used,A207-32-967,2026-03-10,2011,913449,20900,Veghel,Netherlands
Volvo,FM 460 4X2 VEB Hydraulik LED Alcoa's,used,A207-93-567,2026-03-10,2021,350935,50900,Veghel,Netherlands
DAF,XG+ 530 4X2 Retarder - 2x Tanques - ACC -  Aire...,used,A211-63-652,2026-03-11,2023,233914,72400,Madrid,Spain
Volvo,FH540 6x2 Tractor – 1 Owner! WATCH VIDEO,used,A214-08-532,2026-03-04,2023,342000,93778,Norway,Sør-Trøndelag
Volvo,FH 420 FH 4X2 ADR VEB+ Alcoa's I-ParkCool,used,A214-65-042,2026-03-10,2019,698225,31900,Veghel,Netherlands
Volvo,FH 420 FH 4X2 ADR VEB+ Alcoa's I-ParkCool,used,A214-64-987,2026-03-15,2019,708589,30900,Veghel,Netherlands
MERCEDES-BENZ,Actros 5 1845 BigSpace,used,A214-63-992,2026-03-10,2023,301436,67000,Heteren,Netherlands
Ford,F-Max 500 4X2 Retarder Standklima 2xTanks ACC LED,used,A214-64-887,2026-03-10,2023,245954,34400,Veghel,Netherlands
Ford,F-Max 500 4X2 Retarder Standklima 2xTanks ACC LED,used,A214-64-867,2026-03-10,2022,159473,33900,Veghel,Netherlands
Ford,F-Max 500 4X2 Retarder 2xTanks ACC LED,used,A214-64-847,2026-03-11,2022,125060,34900,Veghel,Netherlands
Scania,R410 4X2 Mega Retarder Hebesattel 2xTanks,used,A214-64-817,2026-03-10,2014,698343,17400,Veghel,Netherlands
VOLVO,FH 500 Globetrotter XL,used,A214-63-522,2026-03-10,2023,259831,77500,Heteren,Netherlands
MERCEDES-BENZ,Actros 5 1845 BigSpace,used,A214-63-517,2026-03-10,2023,353351,63900,Heteren,Netherlands
Volvo,FM 450 FH 6X2 ADR! VEB Lift+Lenkachse,used,A214-64-272,2026-03-10,2017,239330,34900,Veghel,Netherlands
Volvo,FH 460 4X2 VEB+ TC 2xTanks I-ParkCool Navi,used,A214-74-712,2026-03-11,2023,345005,68900,Madrid,Spain
Volvo,FH 460 4X2 VEB+ TC 2xTanks I-ParkCool Navi,used,A214-74-702,2026-03-12,2023,363130,68900,Madrid,Spain
DAF,XF 480 XF 4X2 SSC 2xTanks,used,A211-87-480,2026-03-11,2018,936881,9900,Veghel,Netherlands
Renault,T 520 6X4 Retarder Hydraulik Big-Axle,used,A196-45-526,2026-03-11,2017,524549,36500,Veghel,Netherlands
VOLVO,FH 460 LNG GAS,good (used),A214-54-577,2026-03-11,2019,565919,19900,Vuren,Netherlands
MERCEDES-BENZ,ACTROS 1851 MP4 BIGSPACE ALCOA'S,good (used),A214-54-557,2026-03-11,2022,459469,49950,Vuren,Netherlands
VOLVO,FM 13.500 EEV 10X4 HEAVY DUTY,good (used),A214-53-932,2026-03-09,2011,751411,19900,Vuren,Netherlands
Iveco,S-Way 490 S-Way 4X2 AS Retarder 2xTanks Navi St...,used,A214-60-882,2026-03-13,2023,292782,49900,Veghel,Netherlands
DAF,XF 530 4X2 SC Retarder,used,A214-60-872,2026-03-13,2021,362712,29400,Veghel,Netherlands
DAF,XF 480 4X2 SC Standklima,used,A214-60-867,2026-03-13,2021,228862,29400,Veghel,Netherlands
Volvo,FH 460 4X2 VEB+ TC 2xTanks PTO Alcoa's,used,A214-60-827,2026-03-09,2021,470391,51900,Veghel,Netherlands
Mercedes,Actros 1943 4X2 Bigspace Hydraulic ACC,used,A214-60-817,2026-03-09,2016,739734,14900,Veghel,Netherlands
Volvo,FM 460 4X2 LXL VEB+ PTO Euro6,used,A214-60-797,2026-03-13,2015,578740,21900,Veghel,Netherlands
Scania,R440 6X2 Manual! Retarder Lift+Lenkachse Standk...,used,A214-60-787,2026-03-09,2009,945296,12900,Veghel,Netherlands
Renault,T 520 4X2 HIGH Retarder 2xTanks Full-Air Alcoa'...,used,A214-60-742,2026-03-12,2014,1000121,17900,Veghel,Netherlands
DAF,XF 460 6X2 FTG NL-Truck SC Lift+Lenk,used,A214-60-737,2026-03-09,2015,834235,16900,Veghel,Netherlands
Scania,R410 4X2 ADR AT! Retarder Alcoa's Full-Air,used,A214-60-712,2026-03-09,2020,835803,29900,Veghel,Netherlands
Scania,R410 R 4X2 ADR AT! Retarder Alcoa's Full-Air,used,A214-60-707,2026-03-09,2020,925258,28900,Veghel,Netherlands
Volvo,FH 460 4X2 ADR Retarder VEB+ Alcoa's,used,A214-60-697,2026-03-10,2020,636949,45400,Veghel,Netherlands
MAN,TGX 18.470 4X2 GX Mega Retarder 2xTanks,used,A214-60-647,2026-03-09,2021,653970,28900,Veghel,Netherlands
